recipe,primary,secondary,tertiary
bi bim bap,gochujang,*,*
bi bim bap,rice,eggs,gochujang
bi bim bap,rice,spinach,gochujang
black bean burgers,black beans,eggs,garlic
black bean soup,beans,celery,carrots
broccoli calabrian style,pasta,broccoli,raisins
broccoli rabe with white beans,white beans,broccoli rabe,garlic
butternut squash black bean chili,black beans,winter squash,chili
butternut squash black bean chili,winter squash,chili,black beans
carrot salad with tarragon,carrots,tarragon,*
carrot tahini salad with spiced chickpeas,chickpeas,carrots,tahini
cauli cheese,cauliflower,cheese,mustard
chicken casserole,chicken,rice,broccoli
chickpea flour pancakes,chickpeas,bread,green onions
chili with cornbread,chili,bread,fire roasted tomatoes
coconut chicken curry w potatoes,chicken,potatoes,coconut
colcannon,potatoes,kale,butter
cole slaw,green cabbage,carrots,cider vinegar
curry chicken salad,chicken,curry,celery
curry chicken salad,chicken,salad,curry
east indian chickpea salad,chickpeas,cayenne,red peppers
egg salad sandwiches,eggs,salad,bread
eggs and fried potatoes,potatoes,eggs,olive oil
forager salad,kale,salad,*
frittata,chard,eggs,sun dried tomatoes
frittata,parsley,eggs,olives
frittata,spinach,eggs,olives
general tso chickpeas,chickpeas,broccoli,carrots
ginger cabbage,napa cabbage,ginger,*
lentil salad,lentils,salad,parsley
lentil salad,lentils,salad,sun dried tomatoes
mac and cheese,pasta,cheese,fire roasted tomatoes
miso glazed salmon with rice,salmon,rice,miso
pasta with pesto,pasta,parsley,garlic
peanut noodles,pasta,nuts,cucumber
pizza night,pizza,*,*
polenta with red sauce,polenta,red sauce,*
polenta with sauteed greens,polenta,spinach,garlic
potatoes au gratin,potatoes,cheese,white sauce
roasted squash,winter squash,*,*
salad nicoise,fish,salad,tomatoes
sephardic chickpea salad,chickpeas,green peppers,cumin
southwestern stew,beans,winter squash,fire roasted tomatoes
spinach lasagna,pasta,spinach,cheese
sweet potato black bean salad,beans,sweet potatoes,chili
sweet potato hash with eggs,sweet potatoes,eggs,red peppers
tabouli,parsley,beans,cucumbers
tofu stir-fry with rice,tofu,rice,broccoli
tortillas and beans,beans,bread,cucumbers
tuna kegderee,tuna,curry,rice
turmeric black pepper chicken,chicken,turmeric,honey
tuscan white bean salad,beans,spinach,*
white bean with spinach soup,white beans,spinach,onion
zaatar,thyme,bread,olive oil
